"id","commodity__sid","commodity__code","commodity__suffix","commodity__description","commodity__validity_start","commodity__validity_end","parent__sid","parent__code","parent__suffix"
8762,93104,"2904200010","80","Nitromethane (CAS RN 75-52-5)","2011-01-01","#NA",36318,"2904200000","80"
8763,93105,"2904200020","80","Nitroethane (CAS RN 79-24-3)","2011-01-01","#NA",36318,"2904200000","80"
8764,93106,"2904200030","80","1-Nitropropane (CAS RN 108-03-2)","2011-01-01","#NA",36318,"2904200000","80"
8765,70544,"2904200040","80","2-Nitropropane (CAS RN 79-46-9)","1999-01-01","#NA",36318,"2904200000","80"
8766,104739,"2904200050","80","2,4-Dinitrotoluene (2,4-DNT) (CAS RN 121-14-2)","2019-10-01","#NA",36318,"2904200000","80"
8767,104740,"2904200060","80","5-tert-butyl-2,4,6-trinitro-m-xylene (Musk xylene) (CAS RN 81-15-2)","2019-10-01","#NA",36318,"2904200000","80"
8768,70545,"2904200090","80","Other","1999-01-01","#NA",36318,"2904200000","80"
8769,101266,"2904310000","10","Perfluorooctane sulphonic acid, its salts and perfluorooctane sulphonyl fluoride","2017-01-01","#NA",36312,"2904000000","80"
8770,101267,"2904310000","80","Perfluorooctane sulphonic acid","2017-01-01","#NA",101266,"2904310000","10"
8771,101268,"2904320000","80","Ammonium perfluorooctane sulphonate","2017-01-01","#NA",101266,"2904310000","10"
8772,101269,"2904330000","80","Lithium perfluorooctane sulphonate","2017-01-01","#NA",101266,"2904310000","10"
8773,101270,"2904340000","80","Potassium perfluorooctane sulphonate","2017-01-01","#NA",101266,"2904310000","10"
8774,101271,"2904350000","80","Other salts of perfluorooctane sulphonic acid","2017-01-01","#NA",101266,"2904310000","10"
8775,101272,"2904360000","80","Perfluorooctane sulphonyl fluoride","2017-01-01","#NA",101266,"2904310000","10"
8776,101273,"2904910000","10","Other","2017-01-01","#NA",36312,"2904000000","80"
8777,101274,"2904910000","80","Trichloronitromethane (chloropicrin)","2017-01-01","#NA",101273,"2904910000","10"
8778,101275,"2904990000","80","Other","2017-01-01","#NA",101273,"2904910000","10"
8779,101278,"2904990020","80","1-Chloro-2,4-dinitrobenzene (CAS RN 97-00-7)","2017-01-01","#NA",101275,"2904990000","80"
8780,101280,"2904990025","80","Difluoromethanesulphonyl chloride (CAS RN 1512-30-7)","2017-01-01","#NA",101275,"2904990000","80"
8781,101281,"2904990030","80","Tosyl chloride (CAS RN 98-59-9)","2017-01-01","#NA",101275,"2904990000","80"
8782,101282,"2904990035","80","1-Fluoro-4-nitrobenzene (CAS RN 350-46-9)","2017-01-01","#NA",101275,"2904990000","80"
8783,101283,"2904990040","80","4-Chlorobenzenesulphonyl chloride (CAS RN 98-60-2)","2017-01-01","#NA",101275,"2904990000","80"
8784,104129,"2904990045","80","2-Nitrobenzenesulfonyl Chloride (CAS RN 1694-92-4)","2019-01-01","#NA",101275,"2904990000","80"
8785,101284,"2904990050","80","Ethanesulphonyl chloride (CAS RN 594-44-5)","2017-01-01","#NA",101275,"2904990000","80"
8786,105562,"2904990055","80","2,4-dichloro-1,3-dinitro-5-(trifluoromethyl)benzene (CAS RN 29091-09-6) with a purity by weight of 96 % or more","2021-01-01","#NA",101275,"2904990000","80"
8787,101285,"2904990060","80","4,4'-Dinitrostilbene-2,2'-disulfonic acid (CAS RN 128-42-7)","2017-01-01","#NA",101275,"2904990000","80"
8788,106344,"2904990065","80","4-Nitrotoluene-2-sulphonic acid (CAS RN 121-03-9) in powder form, with a purity by weight of 80 % or more and a content of water by weight of 15 % or more","2022-01-01","#NA",101275,"2904990000","80"
8789,101286,"2904990070","80","1-Chloro-4-nitrobenzene (CAS RN 100-00-5)","2017-01-01","#NA",101275,"2904990000","80"
8790,101287,"2904990080","80","1-Chloro-2-nitrobenzene (CAS RN 88-73-3)","2017-01-01","#NA",101275,"2904990000","80"
8791,101288,"2904990090","80","Other","2017-01-01","#NA",101275,"2904990000","80"
8792,36338,"2905000000","10","II. ALCOHOLS AND THEIR HALOGENATED, SULPHONATED, NITRATED OR NITROSATED DERIVATIVES","1972-01-01","#NA",36168,"2900000000","80"
8793,36339,"2905000000","80","Acyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives","1972-01-01","#NA",36338,"2905000000","10"
8794,36340,"2905110000","10","Saturated monohydric alcohols","1972-01-01","#NA",36339,"2905000000","80"
8795,36341,"2905110000","80","Methanol (methyl alcohol)","1972-01-01","#NA",36340,"2905110000","10"
8796,98321,"2905110010","80","Methanol (CAS RN 67-56-1) with a purity of 99,85 % by weight or more","2014-07-01","#NA",36341,"2905110000","80"
8797,98322,"2905110090","80","Other","2014-07-01","#NA",36341,"2905110000","80"
8798,36342,"2905120000","80","Propan-1-ol (propyl alcohol) and propan-2-ol (isopropyl alcohol)","1972-01-01","#NA",36340,"2905110000","10"
8799,100432,"2905120010","80","Propan-1-ol (propyl alcohol) (CAS RN 71-23-8)","2017-01-01","#NA",36342,"2905120000","80"
8800,100433,"2905120090","80","Other","2017-01-01","#NA",36342,"2905120000","80"
8801,36343,"2905130000","80","Butan-1-ol (n-butyl alcohol)","1972-01-01","#NA",36340,"2905110000","10"
8802,36344,"2905140000","80","Other butanols","1972-01-01","#NA",36340,"2905110000","10"
8803,36345,"2905141000","80","2-Methylpropan-2-ol (tert-butyl alcohol)","1972-01-01","#NA",36344,"2905140000","80"
8804,36346,"2905149000","80","Other","1972-01-01","#NA",36344,"2905140000","80"
8805,36350,"2905160000","80","Octanol (octyl alcohol) and isomers thereof","1972-01-01","#NA",36340,"2905110000","10"
8806,65031,"2905162000","80","Octan-2-ol","1997-01-01","#NA",36350,"2905160000","80"
8807,90279,"2905168500","80","Other","2009-01-01","#NA",36350,"2905160000","80"
